angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.06,"[673, 252, 335, 404]",0.0,0.06,0.02,0.76,0.09,0.01
0.06,"[669, 251, 336, 407]",0.0,0.08,0.06,0.67,0.09,0.03
0.05,"[672, 248, 334, 403]",0.0,0.04,0.02,0.78,0.08,0.03
0.06,"[671, 246, 336, 405]",0.0,0.06,0.03,0.73,0.08,0.04
0.06,"[670, 248, 334, 404]",0.0,0.04,0.02,0.78,0.08,0.03
0.06,"[670, 246, 332, 403]",0.0,0.04,0.03,0.75,0.08,0.05
0.04,"[668, 247, 333, 404]",0.0,0.05,0.03,0.73,0.08,0.06
0.08,"[668, 247, 335, 404]",0.0,0.05,0.04,0.7,0.08,0.05
0.07,"[669, 247, 333, 402]",0.0,0.04,0.03,0.74,0.07,0.05
0.11,"[668, 248, 336, 410]",0.0,0.1,0.03,0.6,0.14,0.02
0.1,"[669, 247, 338, 411]",0.0,0.1,0.02,0.63,0.14,0.02
0.07,"[670, 245, 337, 413]",0.0,0.07,0.03,0.69,0.11,0.03
0.11,"[671, 245, 338, 416]",0.0,0.08,0.02,0.65,0.13,0.01
0.12,"[670, 246, 341, 415]",0.0,0.11,0.03,0.58,0.13,0.03
0.06,"[675, 250, 335, 406]",0.01,0.08,0.04,0.69,0.09,0.03
0.05,"[678, 254, 332, 399]",0.0,0.06,0.03,0.78,0.06,0.01
0.1,"[678, 255, 334, 404]",0.01,0.27,0.07,0.41,0.11,0.04
0.04,"[679, 258, 319, 396]",0.0,0.08,0.06,0.65,0.14,0.02
0.08,"[679, 254, 327, 404]",0.0,0.1,0.03,0.58,0.18,0.02
0.08,"[680, 256, 329, 399]",0.0,0.13,0.05,0.49,0.23,0.02
0.06,"[680, 259, 327, 396]",0.0,0.16,0.08,0.41,0.27,0.01
0.07,"[682, 261, 325, 393]",0.0,0.13,0.24,0.4,0.12,0.03
0.05,"[682, 262, 327, 395]",0.0,0.18,0.17,0.46,0.11,0.03
0.07,"[683, 257, 328, 404]",0.0,0.24,0.07,0.45,0.16,0.02
0.09,"[680, 254, 327, 400]",0.0,0.1,0.07,0.54,0.16,0.03
0.08,"[683, 257, 322, 394]",0.0,0.09,0.03,0.64,0.13,0.02
0.06,"[683, 262, 322, 391]",0.0,0.11,0.18,0.51,0.11,0.03
0.05,"[683, 261, 323, 393]",0.0,0.16,0.19,0.43,0.11,0.06
0.06,"[678, 256, 335, 396]",0.0,0.09,0.06,0.67,0.08,0.03
0.03,"[675, 255, 333, 399]",0.0,0.04,0.14,0.73,0.04,0.02
0.05,"[676, 256, 327, 394]",0.01,0.06,0.08,0.72,0.05,0.03
0.05,"[676, 256, 334, 399]",0.0,0.05,0.16,0.68,0.04,0.02
0.06,"[679, 260, 331, 393]",0.0,0.06,0.12,0.67,0.07,0.02
0.05,"[676, 259, 330, 392]",0.01,0.05,0.07,0.73,0.06,0.02
0.04,"[675, 257, 330, 393]",0.0,0.04,0.05,0.79,0.05,0.03
0.06,"[676, 257, 327, 389]",0.01,0.05,0.09,0.65,0.1,0.04
0.06,"[675, 259, 328, 387]",0.0,0.04,0.06,0.73,0.06,0.05
0.06,"[677, 259, 332, 390]",0.01,0.06,0.13,0.61,0.12,0.01
0.04,"[674, 257, 330, 390]",0.0,0.03,0.04,0.8,0.04,0.03
0.05,"[678, 258, 328, 387]",0.0,0.02,0.06,0.78,0.06,0.03
0.04,"[677, 256, 328, 388]",0.0,0.03,0.06,0.74,0.06,0.07
0.06,"[678, 255, 332, 394]",0.01,0.04,0.16,0.65,0.05,0.03
0.03,"[679, 256, 328, 388]",0.01,0.04,0.02,0.79,0.05,0.05
0.02,"[677, 257, 330, 388]",0.01,0.03,0.06,0.83,0.04,0.02
0.02,"[677, 258, 327, 387]",0.01,0.05,0.08,0.76,0.05,0.03
0.04,"[680, 254, 330, 390]",0.01,0.04,0.06,0.78,0.05,0.03
0.01,"[682, 265, 317, 372]",0.01,0.03,0.24,0.62,0.06,0.03
0.03,"[676, 250, 329, 392]",0.0,0.05,0.04,0.79,0.05,0.04
0.02,"[677, 249, 326, 390]",0.0,0.02,0.02,0.88,0.04,0.02
0.02,"[676, 250, 327, 391]",0.0,0.04,0.04,0.83,0.05,0.02
0.07,"[673, 245, 338, 408]",0.0,0.04,0.04,0.76,0.07,0.02
0.07,"[674, 248, 336, 407]",0.0,0.06,0.05,0.69,0.12,0.01
0.09,"[672, 250, 337, 411]",0.0,0.11,0.13,0.51,0.15,0.02
0.05,"[679, 247, 327, 399]",0.0,0.04,0.07,0.74,0.06,0.03
0.07,"[671, 246, 337, 412]",0.0,0.13,0.05,0.55,0.17,0.03
0.04,"[677, 243, 329, 402]",0.01,0.05,0.03,0.76,0.09,0.03
0.17,"[670, 244, 338, 416]",0.0,0.14,0.06,0.41,0.19,0.02
0.15,"[670, 243, 337, 416]",0.01,0.12,0.06,0.46,0.18,0.03
0.14,"[670, 242, 337, 418]",0.0,0.09,0.08,0.51,0.14,0.04
0.12,"[670, 244, 336, 417]",0.0,0.13,0.06,0.51,0.14,0.05
0.09,"[671, 244, 337, 418]",0.0,0.12,0.12,0.48,0.15,0.04
0.11,"[670, 241, 339, 421]",0.0,0.1,0.08,0.51,0.16,0.03
0.09,"[671, 246, 336, 421]",0.0,0.11,0.08,0.52,0.18,0.02
0.15,"[671, 249, 334, 418]",0.0,0.09,0.11,0.42,0.21,0.02
0.11,"[671, 247, 336, 420]",0.0,0.08,0.05,0.57,0.18,0.01
0.14,"[672, 244, 338, 425]",0.0,0.1,0.04,0.44,0.28,0.01
0.17,"[670, 241, 340, 424]",0.0,0.1,0.11,0.4,0.2,0.02
0.09,"[670, 244, 339, 422]",0.0,0.11,0.14,0.47,0.17,0.01
0.11,"[676, 250, 331, 416]",0.0,0.07,0.21,0.41,0.18,0.01
0.09,"[671, 246, 334, 419]",0.0,0.05,0.3,0.39,0.14,0.02
0.19,"[672, 246, 336, 422]",0.0,0.08,0.11,0.3,0.31,0.01
0.2,"[670, 241, 341, 422]",0.0,0.07,0.1,0.29,0.32,0.01
0.19,"[672, 240, 339, 422]",0.0,0.1,0.05,0.31,0.33,0.02
0.15,"[671, 239, 339, 426]",0.0,0.08,0.03,0.56,0.16,0.02
0.17,"[675, 247, 333, 417]",0.0,0.11,0.11,0.39,0.18,0.03
0.08,"[676, 246, 337, 424]",0.0,0.05,0.13,0.58,0.15,0.01
0.04,"[674, 245, 341, 426]",0.0,0.03,0.18,0.65,0.08,0.01
0.13,"[680, 250, 327, 409]",0.02,0.11,0.09,0.5,0.12,0.04
0.11,"[680, 251, 325, 403]",0.01,0.08,0.2,0.45,0.09,0.06
0.09,"[681, 248, 326, 400]",0.01,0.05,0.05,0.7,0.07,0.03
0.12,"[684, 246, 326, 399]",0.04,0.04,0.09,0.53,0.1,0.08
0.16,"[681, 249, 330, 397]",0.03,0.04,0.13,0.45,0.1,0.09
0.12,"[680, 252, 332, 400]",0.02,0.1,0.16,0.44,0.15,0.03
0.05,"[684, 262, 321, 390]",0.0,0.12,0.07,0.63,0.1,0.04
0.08,"[686, 261, 322, 391]",0.01,0.11,0.1,0.54,0.12,0.04
0.11,"[684, 258, 329, 397]",0.01,0.08,0.14,0.54,0.08,0.05
0.09,"[683, 258, 330, 395]",0.03,0.07,0.23,0.39,0.12,0.06
0.09,"[677, 254, 333, 407]",0.0,0.1,0.06,0.57,0.11,0.06
0.09,"[678, 253, 335, 409]",0.0,0.19,0.05,0.48,0.15,0.05
0.06,"[677, 251, 331, 398]",0.01,0.04,0.04,0.69,0.09,0.06
0.06,"[678, 253, 327, 393]",0.01,0.02,0.06,0.72,0.09,0.04
0.11,"[672, 249, 339, 413]",0.0,0.07,0.13,0.53,0.13,0.03
0.07,"[676, 251, 332, 398]",0.01,0.03,0.07,0.67,0.08,0.08
0.05,"[677, 254, 331, 396]",0.0,0.03,0.12,0.64,0.09,0.06
0.06,"[677, 253, 331, 397]",0.01,0.03,0.11,0.63,0.08,0.08
0.05,"[680, 254, 329, 394]",0.01,0.03,0.1,0.63,0.1,0.08
0.06,"[682, 257, 325, 392]",0.0,0.05,0.06,0.64,0.11,0.07
0.09,"[678, 258, 331, 396]",0.01,0.08,0.12,0.54,0.1,0.05
0.08,"[678, 254, 336, 409]",0.0,0.14,0.15,0.47,0.13,0.04
0.09,"[678, 257, 335, 408]",0.0,0.11,0.07,0.6,0.12,0.02
0.11,"[678, 254, 338, 412]",0.0,0.13,0.1,0.49,0.13,0.04
0.08,"[680, 255, 336, 411]",0.0,0.1,0.1,0.59,0.11,0.02
0.05,"[688, 263, 319, 386]",0.01,0.09,0.18,0.54,0.08,0.06
0.06,"[687, 264, 321, 391]",0.0,0.14,0.02,0.63,0.11,0.03
0.05,"[687, 261, 326, 397]",0.0,0.13,0.04,0.66,0.08,0.04
0.07,"[687, 260, 328, 399]",0.0,0.13,0.07,0.63,0.08,0.03
0.06,"[688, 260, 326, 397]",0.0,0.1,0.04,0.7,0.07,0.03
0.07,"[688, 258, 329, 402]",0.0,0.14,0.04,0.61,0.09,0.05
0.06,"[689, 263, 324, 390]",0.01,0.15,0.19,0.45,0.09,0.05
0.08,"[689, 262, 325, 388]",0.02,0.06,0.1,0.6,0.09,0.06
